LCLid,READING_DATE,00:00:00,00:30:00,01:00:00,01:30:00,02:00:00,02:30:00,03:00:00,03:30:00,04:00:00,04:30:00,05:00:00,05:30:00,06:00:00,06:30:00,07:00:00,07:30:00,08:00:00,08:30:00,09:00:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,16:00:00,16:30:00,17:00:00,17:30:00,18:00:00,18:30:00,19:00:00,19:30:00,20:00:00,20:30:00,21:00:00,21:30:00,22:00:00,22:30:00,23:00:00,23:30:00,ANNUAL_CONSUMPTION,Daily Consumption
MAC000005,2013-01-01,0.096,0.111,0.071,0.035,0.035,0.034,0.035,0.03,0.028,0.03,0.033,0.035,0.033,0.036,0.034,0.052,0.309,0.138,0.056,0.036,0.035,0.165,0.097,0.073,0.034,0.034,0.034,0.034,0.024,0.025,0.029,0.033,0.032,0.032,0.031,0.026,0.027,0.248,0.548,0.296,0.247,0.157,0.114,0.115,0.115,0.292,0.13,0.045,1.6524261953557688,4.339
MAC000005,2013-01-02,0.035,0.035,0.035,0.029,0.024,0.03,0.034,0.034,0.038,0.024,0.022,0.032,0.034,0.033,0.035,0.027,0.054,0.229,0.098,0.111,0.047,0.036,0.033,0.026,0.025,0.026,0.032,0.033,0.171,0.145,0.126,0.175,0.147,0.225,0.818,0.294,0.421,0.227,0.162,0.151,0.143,0.167,0.311,0.223,0.2,0.153,0.139,0.051,1.6524261953557688,5.699999999999999
MAC000005,2013-01-03,0.031,0.032,0.033,0.031,0.033,0.027,0.031,0.027,0.028,0.029,0.031,0.032,0.031,0.033,0.032,0.055,0.346,0.137,0.06,0.032,0.032,0.036,0.036,0.157,0.035,0.082,0.034,0.029,0.029,0.027,0.144,0.204,0.07,0.067,0.185,0.763,0.485,0.316,0.134,0.129,0.099,0.081,0.09,0.108,0.122,0.385,0.135,0.072,1.6524261953557688,5.176999999999999
MAC000005,2013-01-04,0.035,0.029,0.03,0.029,0.029,0.03,0.033,0.032,0.032,0.032,0.037,0.031,0.032,0.033,0.035,0.062,0.307,0.114,0.147,0.037,0.041,0.106,0.363,0.226,0.114,0.029,0.036,0.035,0.135,0.074,0.06,0.064,0.244,0.134,0.131,1.345,0.271,0.367,0.165,0.144,0.091,0.112,0.103,0.124,0.242,0.129,0.082,0.075,1.6524261953557688,6.187999999999999
MAC000005,2013-01-05,0.053,0.03,0.027,0.027,0.034,0.035,0.036,0.036,0.027,0.027,0.03,0.036,0.037,0.036,0.047,0.077,0.237,0.217,0.207,0.05,0.033,0.043,0.069,0.062,0.168,0.137,0.793,0.174,0.041,0.031,0.064,0.151,0.11,0.213,0.076,0.14,0.212,0.182,0.115,0.111,0.309,0.144,0.181,0.134,0.102,0.117,0.117,0.034,1.6524261953557688,5.369000000000001
MAC000005,2013-01-06,0.032,0.032,0.033,0.029,0.029,0.028,0.028,0.029,0.037,0.032,0.032,0.032,0.033,0.033,0.062,0.239,0.396,0.2,0.27,0.035,0.197,0.291,0.097,0.125,0.741,0.708,0.679,0.166,1.053,1.748,0.331,0.198,0.278,0.286,0.197,0.286,0.237,0.228,0.2,0.194,0.191,0.206,0.438,0.142,0.146,0.157,0.151,0.124,1.6524261953557688,11.436000000000002
MAC000005,2013-01-07,0.132,0.041,0.034,0.034,0.034,0.035,0.038,0.039,0.036,0.037,0.036,0.032,0.03,0.036,0.066,0.082,0.076,0.221,0.07,0.049,0.034,0.034,0.033,0.033,0.031,0.033,1.005,0.071,0.13,0.121,0.078,0.068,0.068,0.078,0.066,0.289,0.478,0.363,0.162,0.159,0.122,0.089,0.105,0.108,0.336,0.173,0.142,0.122,1.6524261953557688,5.689
MAC000005,2013-01-08,0.033,0.033,0.031,0.03,0.03,0.03,0.031,0.03,0.03,0.03,0.03,0.03,0.035,0.033,0.033,0.043,0.166,0.213,0.073,0.046,0.032,0.032,0.031,0.031,0.031,0.031,0.029,0.029,0.029,0.028,0.029,0.028,0.028,0.027,0.029,0.164,0.209,0.288,0.22,0.195,0.141,0.086,0.131,0.343,0.127,0.12,0.153,0.122,1.6524261953557688,3.752999999999999
MAC000005,2013-01-09,0.049,0.031,0.031,0.031,0.032,0.03,0.031,0.031,0.03,0.031,0.033,0.031,0.029,0.03,0.031,0.042,0.131,0.221,0.085,0.065,0.03,0.034,0.03,0.03,0.03,0.029,0.029,0.041,0.035,0.032,0.156,0.112,0.047,0.293,0.687,0.343,0.218,0.337,0.186,0.191,0.111,0.108,0.117,0.358,0.175,0.128,0.089,0.091,1.6524261953557688,5.092
MAC000005,2013-01-10,0.032,0.033,0.031,0.031,0.031,0.031,0.031,0.033,0.031,0.03,0.03,0.029,0.03,0.031,0.031,0.051,0.301,0.218,0.166,0.085,0.036,0.029,0.027,0.028,0.028,0.028,0.028,0.028,0.202,0.109,0.114,0.227,0.087,0.066,0.103,0.491,0.399,0.345,0.167,0.234,0.212,0.085,0.077,0.21,0.212,0.162,0.11,0.11,1.6524261953557688,5.24
MAC000005,2013-01-11,0.112,0.075,0.032,0.032,0.03,0.031,0.03,0.033,0.03,0.03,0.028,0.029,0.029,0.03,0.03,0.056,0.389,0.195,0.119,0.098,0.071,0.153,0.089,0.118,0.169,0.128,0.101,0.238,0.031,0.028,0.028,0.031,0.028,0.113,0.144,0.457,0.724,0.346,0.164,0.165,0.125,0.082,0.102,0.178,0.17,0.297,0.101,0.076,1.6524261953557688,5.895
MAC000005,2013-01-12,0.028,0.028,0.028,0.028,0.029,0.028,0.028,0.028,0.029,0.028,0.029,0.028,0.033,0.03,0.03,0.055,0.345,0.199,0.117,0.036,0.032,0.03,0.202,0.181,0.139,0.17,0.585,0.167,0.069,0.068,0.066,0.229,0.113,0.068,0.064,0.127,0.321,0.213,0.117,0.183,0.163,0.099,0.081,0.092,0.29,0.099,0.129,0.043,1.6524261953557688,5.324000000000001
MAC000005,2013-01-13,0.03,0.029,0.029,0.028,0.03,0.03,0.03,0.029,0.035,0.029,0.028,0.029,0.028,0.031,0.029,0.036,0.063,0.408,0.175,0.105,0.167,0.029,0.027,0.028,0.028,0.028,0.027,0.027,0.027,0.027,0.149,0.128,0.569,0.187,0.136,0.135,0.286,0.241,0.129,0.102,0.104,0.109,0.17,0.386,0.126,0.16,0.126,0.128,1.6524261953557688,5.017
MAC000005,2013-01-14,0.091,0.031,0.029,0.029,0.029,0.028,0.029,0.029,0.028,0.028,0.029,0.029,0.029,0.03,0.03,0.051,0.4,0.185,0.095,0.05,0.121,0.113,0.182,0.62,0.232,0.16,0.275,0.065,0.145,0.063,0.123,0.127,0.069,0.063,0.064,0.082,0.556,0.64,0.256,0.126,0.105,0.093,0.074,0.25,0.207,0.157,0.096,0.093,1.6524261953557688,6.436000000000001
MAC000005,2013-01-15,0.049,0.029,0.03,0.028,0.03,0.027,0.029,0.028,0.027,0.028,0.031,0.028,0.028,0.029,0.028,0.092,0.417,0.157,0.1,0.032,0.032,0.03,0.034,0.159,0.174,0.045,0.152,0.182,0.113,0.079,0.037,0.13,0.028,0.028,0.055,0.465,0.681,0.223,0.271,0.388,0.129,0.094,0.076,0.165,0.368,0.17,0.131,0.051,1.6524261953557688,5.737000000000001
MAC000005,2013-01-16,0.03,0.029,0.03,0.03,0.03,0.03,0.029,0.031,0.03,0.029,0.033,0.029,0.029,0.03,0.03,0.028,0.04,0.282,0.132,0.091,0.098,0.065,0.028,0.028,0.027,0.029,0.287,0.097,0.092,0.096,0.537,0.096,0.05,0.179,0.344,0.611,0.363,0.219,0.142,0.409,0.193,0.174,0.177,0.17,0.391,0.199,0.109,0.129,1.6524261953557688,6.360999999999999
MAC000005,2013-01-17,0.027,0.03,0.027,0.028,0.029,0.028,0.029,0.027,0.032,0.028,0.025,0.028,0.025,0.058,0.109,0.257,0.284,0.247,0.134,0.05,0.026,0.026,0.027,0.027,0.027,0.876,0.183,0.141,0.043,0.027,0.028,0.028,0.027,0.027,0.077,0.574,0.294,0.226,0.167,0.158,0.062,0.036,0.037,0.036,0.04,0.299,0.103,0.104,1.6524261953557688,5.228
MAC000005,2013-01-18,0.129,0.059,0.026,0.026,0.027,0.026,0.026,0.026,0.026,0.026,0.026,0.025,0.025,0.03,0.027,0.027,0.024,0.046,0.311,0.174,0.101,0.108,0.103,0.245,0.128,0.421,0.188,0.131,0.129,0.13,0.129,0.131,0.201,0.131,0.088,0.104,0.51,0.797,0.262,0.163,0.166,0.145,0.112,0.134,0.381,0.177,0.193,0.08,1.6524261953557688,6.700000000000001
MAC000005,2013-01-19,0.027,0.028,0.027,0.028,0.028,0.027,0.028,0.028,0.027,0.027,0.03,0.026,0.027,0.028,0.029,0.03,0.047,0.217,0.284,0.154,0.143,0.124,0.125,0.126,0.127,0.265,0.127,0.669,0.594,0.215,0.08,0.088,0.279,0.096,0.095,0.094,0.197,0.367,0.161,0.141,0.13,0.099,0.087,0.348,0.104,0.068,0.071,0.028,1.6524261953557688,6.1949999999999985
MAC000005,2013-01-20,0.028,0.028,0.027,0.03,0.029,0.027,0.027,0.029,0.028,0.032,0.028,0.028,0.026,0.028,0.027,0.026,0.039,0.482,0.172,0.129,0.112,0.094,0.094,0.232,0.107,0.251,1.124,0.146,0.262,0.096,0.094,0.07,0.063,0.063,0.074,0.064,0.347,0.205,0.154,0.139,0.143,0.148,0.146,0.28,0.229,0.169,0.11,0.092,1.6524261953557688,6.377999999999998
MAC000005,2013-01-21,0.035,0.033,0.031,0.03,0.031,0.032,0.03,0.029,0.031,0.029,0.029,0.03,0.029,0.036,0.03,0.03,0.051,0.294,0.179,0.136,0.124,0.111,0.255,0.077,0.029,0.03,0.029,0.037,0.108,0.03,0.029,0.056,0.13,0.135,0.095,0.884,0.25,0.443,0.164,0.163,0.112,0.131,0.109,0.326,0.146,0.162,0.117,0.039,1.6524261953557688,5.475999999999999
MAC000005,2013-01-22,0.029,0.03,0.031,0.03,0.03,0.029,0.03,0.031,0.029,0.029,0.029,0.029,0.033,0.03,0.03,0.03,0.047,0.339,0.171,0.127,0.097,0.096,0.189,0.095,0.096,0.097,0.131,0.192,0.306,0.097,0.062,0.028,0.137,0.063,0.063,0.153,0.312,0.34,0.491,0.239,0.105,0.147,0.184,0.11,0.137,0.352,0.122,0.055,1.6524261953557688,5.659000000000001
MAC000005,2013-01-23,0.029,0.029,0.028,0.028,0.028,0.027,0.027,0.027,0.028,0.028,0.028,0.027,0.03,0.029,0.028,0.058,0.353,0.224,0.183,0.162,0.062,0.033,0.032,0.032,0.149,0.068,0.116,0.788,0.612,0.201,0.069,0.073,0.235,0.16,0.176,0.097,0.142,0.168,0.226,0.109,0.081,0.102,0.285,0.168,0.181,0.139,0.09,0.029,1.6524261953557688,6.024000000000002
MAC000005,2013-01-24,0.029,0.03,0.028,0.029,0.029,0.035,0.028,0.028,0.031,0.027,0.028,0.027,0.028,0.029,0.029,0.042,0.07,0.385,0.218,0.145,0.092,0.032,0.027,0.028,0.028,0.027,0.027,0.073,0.102,0.179,0.029,0.028,0.21,0.135,0.142,0.775,0.489,0.297,0.132,0.187,0.168,0.096,0.079,0.158,0.189,0.356,0.18,0.133,1.6524261953557688,5.693
MAC000005,2013-01-25,0.102,0.066,0.034,0.032,0.031,0.033,0.031,0.033,0.031,0.033,0.029,0.028,0.029,0.03,0.033,0.041,0.069,0.38,0.163,0.137,0.102,0.036,0.027,0.047,0.155,0.099,0.105,0.111,0.031,0.028,0.029,0.029,0.028,0.131,0.092,0.133,1.0779999,0.193,0.267,0.195,0.173,0.241,0.172,0.342,0.147,0.171,0.127,0.089,1.6524261953557688,5.742999900000001
MAC000005,2013-01-26,0.03,0.03,0.03,0.031,0.028,0.029,0.029,0.028,0.03,0.03,0.032,0.029,0.028,0.03,0.031,0.029,0.029,0.028,0.067,0.208,0.177,0.027,0.125,0.07,0.031,0.171,0.391,0.101,0.116,0.259,0.074,0.028,0.144,0.096,0.068,0.082,0.477,0.426,0.379,0.25,0.235,0.261,0.27,0.163,0.165,0.158,0.142,0.077,1.6524261953557688,5.769000000000001
MAC000005,2013-01-27,0.032,0.032,0.032,0.032,0.031,0.031,0.031,0.029,0.027,0.032,0.028,0.028,0.03,0.034,0.032,0.044,0.35,0.33,0.113,0.037,0.157,0.032,0.032,0.029,0.031,0.03,0.028,0.03,0.029,0.028,0.16,0.049,0.836,0.492,0.342,0.172,0.178,0.176,0.097,0.116,0.283,0.215,0.109,0.11,0.14,0.175,0.14,0.09,1.6524261953557688,5.641
MAC000005,2013-01-28,0.028,0.029,0.028,0.029,0.029,0.032,0.031,0.031,0.031,0.031,0.032,0.031,0.032,0.031,0.028,0.041,0.058,0.331,0.122,0.033,0.132,0.033,0.771,0.516,0.084,0.091,0.074,0.135,0.051,0.158,0.584,0.617,0.191,0.145,0.24,0.18,0.949,0.404,0.182,0.177,0.145,0.115,0.112,0.114,0.276,0.29,0.182,0.167,1.6524261953557688,8.153
MAC000005,2013-01-29,0.04,0.03,0.037,0.039,0.037,0.039,0.029,0.029,0.032,0.037,0.042,0.037,0.034,0.031,0.044,0.269,0.249,0.146,0.077,0.036,0.036,0.031,0.028,0.027,0.029,0.032,0.04,0.034,0.035,0.034,0.028,0.097,0.05,0.133,0.127,0.12,0.711,0.411,0.17,0.278,0.141,0.087,0.254,0.117,0.114,0.15,0.145,0.054,1.6524261953557688,4.827
MAC000005,2013-01-30,0.029,0.029,0.033,0.034,0.034,0.034,0.033,0.033,0.029,0.029,0.029,0.029,0.029,0.034,0.033,0.063,0.16,0.131,0.035,0.033,0.034,0.029,0.027,0.028,0.029,0.031,0.032,0.097,0.032,0.032,0.102,0.031,0.159,0.116,0.112,0.136,0.248,0.65,0.28,0.161,0.186,0.146,0.143,0.205,0.373,0.18,0.129,0.141,1.6524261953557688,4.761999999999999
MAC000005,2013-01-31,0.073,0.029,0.03,0.029,0.031,0.033,0.034,0.032,0.033,0.032,0.032,0.036,0.03,0.03,0.029,0.029,0.03,0.288,0.138,0.069,0.033,0.046,0.046,0.032,0.032,0.03,0.029,0.095,0.1,0.036,0.035,0.034,0.104,0.039,0.067,0.238,0.461,0.279,0.488,0.308,0.156,0.236,0.173,0.116,0.301,0.116,0.114,0.112,1.6524261953557688,4.922999999999999
MAC000005,2013-02-01,0.129,0.06,0.031,0.032,0.032,0.031,0.031,0.031,0.031,0.03,0.035,0.032,0.034,0.034,0.043,0.07,0.276,0.182,0.094,0.046,0.032,0.031,0.027,0.03,0.037,0.276,0.152,0.068,0.036,0.032,0.031,0.029,0.028,0.046,0.067,0.434,0.794,0.305,0.13,0.168,0.147,0.104,0.162,0.135,0.189,0.309,0.131,0.089,1.6524261953557688,5.303000000000002
MAC000005,2013-02-02,0.069,0.034,0.036,0.033,0.028,0.029,0.028,0.032,0.034,0.033,0.037,0.033,0.031,0.032,0.03,0.03,0.031,0.211,0.15,0.032,0.03,0.144,0.077,0.032,0.031,0.145,0.064,0.06,0.098,0.073,0.12,0.028,0.81,0.25,0.2,0.344,0.175,0.197,0.109,0.174,0.091,0.078,0.122,0.35,0.144,0.094,0.084,0.087,1.6524261953557688,5.184
MAC000005,2013-02-03,0.029,0.028,0.028,0.028,0.028,0.032,0.03,0.037,0.03,0.03,0.031,0.032,0.028,0.03,0.051,0.386,0.276,0.219,0.585,0.315,0.419,0.115,0.213,0.149,0.627,0.593,0.564,0.407,1.23,1.86,0.831,0.319,0.293,0.182,0.202,0.406,0.232,0.296,0.116,0.135,0.136,0.119,0.104,0.247,0.139,0.105,0.115,0.039,1.6524261953557688,12.445999999999996
MAC000005,2013-02-04,0.035,0.034,0.033,0.033,0.031,0.032,0.032,0.031,0.032,0.032,0.029,0.03,0.034,0.03,0.031,0.045,0.173,0.138,0.084,0.039,0.035,0.034,0.034,0.033,0.029,0.029,0.096,0.09,0.156,0.102,0.052,0.034,0.049,0.068,0.067,0.07,0.519,0.39,0.259,0.135,0.181,0.177,0.1,0.192,0.221,0.201,0.163,0.079,1.6524261953557688,4.553000000000001
MAC000005,2013-02-05,0.049,0.035,0.035,0.036,0.033,0.031,0.032,0.035,0.03,0.03,0.033,0.035,0.031,0.035,0.036,0.032,0.174,0.177,0.039,0.03,0.029,0.028,0.028,0.029,0.028,0.03,0.029,0.03,0.027,0.186,0.126,0.065,0.037,0.101,0.129,0.185,0.84,0.226,0.288,0.262,0.178,0.152,0.082,0.262,0.099,0.133,0.116,0.095,1.6524261953557688,4.7879999999999985
MAC000005,2013-02-06,0.06,0.033,0.033,0.032,0.031,0.033,0.03,0.031,0.031,0.031,0.033,0.03,0.027,0.029,0.029,0.057,0.37,0.195,0.085,0.032,0.03,0.029,0.03,0.031,0.03,0.03,0.028,0.03,0.033,0.199,0.098,0.141,0.092,0.151,0.128,0.45,0.507,0.211,0.233,0.214,0.371,0.232,0.23,0.323,0.244,0.348,0.141,0.045,1.6524261953557688,5.861000000000001
MAC000005,2013-02-07,0.032,0.033,0.031,0.03,0.029,0.029,0.028,0.028,0.03,0.032,0.029,0.031,0.029,0.031,0.03,0.031,0.032,0.383,0.097,0.034,0.027,0.028,0.034,0.034,0.034,0.036,0.033,0.08,0.103,0.115,0.105,0.096,0.069,0.068,0.068,0.198,0.517,0.385,0.161,0.455,0.117,0.113,0.114,0.27,0.212,0.207,0.176,0.109,1.6524261953557688,4.992999999999999
MAC000005,2013-02-08,0.08,0.032,0.034,0.032,0.032,0.031,0.032,0.031,0.029,0.026,0.025,0.026,0.033,0.033,0.031,0.051,0.195,0.13,0.072,0.028,0.026,0.026,0.029,0.032,0.029,0.03,0.163,0.034,0.03,0.033,0.03,0.054,0.13,0.076,0.209,0.196,0.361,0.884,0.247,0.16,0.197,0.17,0.181,0.156,0.111,0.184,0.126,0.084,1.6524261953557688,4.971000000000001
MAC000005,2013-02-09,0.052,0.03,0.025,0.025,0.029,0.032,0.032,0.035,0.03,0.031,0.031,0.028,0.026,0.025,0.029,0.051,0.178,0.2,0.115,0.065,0.099,0.053,0.023,0.168,0.18,0.152,0.669,0.383,0.243,0.069,0.088,0.14,0.078,0.03,0.07,0.086,0.231,0.348,0.248,0.225,0.175,0.173,0.164,0.119,0.112,0.288,0.122,0.117,1.6524261953557688,5.921999999999999
MAC000005,2013-02-10,0.081,0.033,0.034,0.032,0.032,0.032,0.033,0.031,0.03,0.029,0.029,0.029,0.029,0.037,0.033,0.052,0.286,0.281,0.125,0.063,0.198,0.035,0.029,0.029,0.03,0.026,0.025,0.025,0.026,0.027,0.032,0.233,0.13,0.471,0.155,0.183,0.142,0.167,0.094,0.1,0.102,0.193,0.168,0.354,0.178,0.117,0.105,0.059,1.6524261953557688,4.763999999999999
MAC000005,2013-02-11,0.032,0.031,0.031,0.027,0.027,0.026,0.026,0.029,0.03,0.034,0.031,0.029,0.03,0.031,0.032,0.051,0.287,0.169,0.104,0.036,0.033,0.106,0.067,0.199,0.084,0.185,0.09,0.033,0.039,0.029,0.033,0.154,0.069,0.081,0.263,0.47,0.974,0.294,0.187,0.115,0.035,0.034,0.036,0.038,0.042,0.049,0.274,0.129,1.6524261953557688,5.234999999999999
MAC000005,2013-02-12,0.06,0.023,0.027,0.028,0.033,0.03,0.03,0.031,0.03,0.026,0.023,0.024,0.027,0.028,0.028,0.055,0.054,0.313,0.172,0.114,0.171,0.097,0.094,0.092,0.1,0.08,0.092,0.14,0.191,0.187,0.1,0.043,0.033,0.062,0.064,0.162,0.93,0.226,0.305,0.164,0.227,0.2,0.123,0.141,0.142,0.372,0.205,0.114,1.6524261953557688,6.013000000000001
MAC000005,2013-02-13,0.038,0.035,0.034,0.035,0.034,0.033,0.027,0.026,0.028,0.033,0.033,0.032,0.032,0.037,0.033,0.048,0.31,0.137,0.066,0.037,0.035,0.032,0.029,0.029,0.028,0.028,0.1,0.024,0.026,0.136,0.156,0.14,0.054,0.296,0.464,0.263,0.157,0.036,0.035,0.037,0.038,0.039,0.039,0.04,0.049,0.373,0.142,0.097,1.6524261953557688,4.01
