LCLid,READING_DATE,00:00:00,00:30:00,01:00:00,01:30:00,02:00:00,02:30:00,03:00:00,03:30:00,04:00:00,04:30:00,05:00:00,05:30:00,06:00:00,06:30:00,07:00:00,07:30:00,08:00:00,08:30:00,09:00:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,16:00:00,16:30:00,17:00:00,17:30:00,18:00:00,18:30:00,19:00:00,19:30:00,20:00:00,20:30:00,21:00:00,21:30:00,22:00:00,22:30:00,23:00:00,23:30:00,ANNUAL_CONSUMPTION,Daily Consumption
MAC000005,2013-02-14,0.028,0.027,0.027,0.027,0.027,0.027,0.028,0.026,0.027,0.027,0.027,0.027,0.029,0.028,0.027,0.043,0.189,0.26,0.1,0.028,0.029,0.03,0.031,0.03,0.03,0.03,0.023,0.132,0.116,0.033,0.074,0.048,0.133,0.127,0.12,0.065,1.29,0.349,0.168,0.182,0.175,0.163,0.075,0.262,0.232,0.181,0.145,0.106,1.6524261953557688,5.408000000000001
MAC000005,2013-02-15,0.104,0.027,0.033,0.033,0.034,0.031,0.033,0.031,0.027,0.025,0.029,0.026,0.031,0.033,0.031,0.032,0.031,0.026,0.371,0.093,0.039,0.033,0.032,0.032,0.033,0.03,0.146,0.027,0.033,0.033,0.031,0.031,0.097,0.07,0.132,0.858,0.375,0.313,0.132,0.14,0.08,0.097,0.195,0.162,0.225,0.076,0.135,0.072,1.6524261953557688,4.739999999999999
MAC000005,2013-02-16,0.033,0.032,0.031,0.031,0.029,0.028,0.027,0.028,0.027,0.027,0.031,0.029,0.03,0.03,0.031,0.051,0.387,0.138,0.039,0.035,0.159,0.031,0.028,0.027,0.025,0.027,0.03,0.029,0.029,0.029,0.029,0.029,0.028,0.029,0.028,0.039,0.294,0.446,0.314,0.172,0.179,0.16,0.134,0.409,0.179,0.11,0.07,0.049,1.6524261953557688,4.2059999999999995
MAC000005,2013-02-17,0.03,0.024,0.026,0.026,0.029,0.03,0.031,0.028,0.029,0.028,0.028,0.03,0.028,0.029,0.035,0.05,0.408,0.15,0.072,0.097,0.032,0.027,0.124,0.033,0.123,0.038,0.516,0.495,0.274,0.032,0.029,0.059,0.065,0.147,0.068,0.068,0.141,0.365,0.213,0.15,0.161,0.151,0.143,0.313,0.082,0.106,0.134,0.053,1.6524261953557688,5.35
MAC000005,2013-02-18,0.029,0.029,0.03,0.03,0.03,0.029,0.028,0.03,0.029,0.028,0.029,0.029,0.027,0.03,0.053,0.105,0.33,0.083,0.032,0.032,0.031,0.139,0.029,0.099,0.098,0.031,0.029,0.034,0.131,0.108,0.028,0.029,0.028,0.056,0.063,0.716,0.348,0.34,0.166,0.144,0.109,0.213,0.223,0.345,0.172,0.187,0.116,0.039,1.6524261953557688,5.092999999999998
MAC000005,2013-02-19,0.031,0.03,0.03,0.03,0.03,0.03,0.029,0.03,0.029,0.029,0.029,0.028,0.029,0.029,0.029,0.029,0.029,0.269,0.151,0.075,0.031,0.156,0.333,0.36,0.076,0.077,0.115,0.028,0.029,0.028,0.027,0.027,0.146,0.583,0.13,0.078,0.03,0.029,0.028,0.029,0.028,0.027,0.231,0.203,0.121,0.123,0.133,0.058,1.6524261953557688,4.2589999999999995
MAC000005,2013-02-20,0.029,0.029,0.029,0.029,0.028,0.028,0.028,0.028,0.027,0.028,0.028,0.027,0.028,0.034,0.03,0.052,0.354,0.173,0.106,0.05,0.066,0.039,0.031,0.03,0.03,0.03,0.03,0.032,0.136,0.03,0.094,0.122,0.033,0.291,0.202,0.093,0.949,0.443,0.167,0.147,0.139,0.141,0.188,0.187,0.311,0.173,0.15,0.1,1.6524261953557688,5.549
MAC000005,2013-02-21,0.032,0.032,0.032,0.031,0.032,0.032,0.029,0.029,0.029,0.028,0.029,0.029,0.031,0.034,0.031,0.03,0.029,0.363,0.146,0.084,0.1,0.122,0.101,0.03,0.028,0.027,0.029,0.028,0.029,0.028,0.176,0.073,0.096,0.164,0.036,0.614,0.287,0.355,0.165,0.156,0.069,0.035,0.037,0.036,0.038,0.297,0.109,0.108,1.6524261953557688,4.484999999999999
MAC000005,2013-02-22,0.127,0.055,0.027,0.027,0.027,0.026,0.026,0.031,0.029,0.03,0.03,0.027,0.026,0.027,0.027,0.027,0.025,0.195,0.22,0.152,0.106,0.071,0.114,0.032,0.133,0.094,0.056,0.088,0.192,0.101,0.116,0.082,0.116,0.133,0.116,0.148,1.006,0.302,0.174,0.437,0.244,0.102,0.131,0.173,0.174,0.359,0.099,0.116,1.6524261953557688,6.176000000000002
MAC000005,2013-02-23,0.086,0.039,0.028,0.028,0.029,0.027,0.03,0.03,0.031,0.031,0.03,0.027,0.031,0.027,0.029,0.045,0.1,0.252,0.133,0.061,0.029,0.121,0.03,0.152,0.095,0.139,0.572,0.176,0.098,0.093,0.032,0.096,0.091,0.101,0.186,0.504,0.293,0.214,0.144,0.143,0.141,0.138,0.194,0.275,0.258,0.192,0.112,0.097,1.6524261953557688,5.810000000000001
MAC000005,2013-02-24,0.028,0.032,0.031,0.03,0.029,0.029,0.03,0.029,0.028,0.029,0.029,0.028,0.028,0.029,0.032,0.031,0.027,0.03,0.468,0.137,0.066,0.107,0.026,0.027,0.026,0.026,0.027,0.027,0.026,0.028,0.163,0.125,0.226,0.106,0.424,0.184,0.152,0.171,0.147,0.178,0.203,0.204,0.172,0.16,0.327,0.171,0.131,0.057,1.6524261953557688,4.821000000000001
MAC000005,2013-02-25,0.028,0.028,0.028,0.028,0.028,0.027,0.028,0.029,0.029,0.03,0.029,0.028,0.03,0.03,0.033,0.044,0.305,0.162,0.206,0.096,0.094,0.652,0.527,0.128,0.147,0.184,0.334,0.102,0.196,0.273,0.135,0.046,0.132,0.033,0.053,0.689,0.429,0.245,0.169,0.22,0.173,0.137,0.122,0.148,0.262,0.354,0.127,0.134,1.6524261953557688,7.491000000000001
MAC000005,2013-02-26,0.047,0.031,0.029,0.03,0.03,0.03,0.029,0.032,0.028,0.028,0.029,0.027,0.029,0.029,0.049,0.072,0.401,0.18,0.217,0.071,0.029,0.029,0.028,0.029,0.03,0.027,0.03,0.099,0.033,0.045,0.031,0.029,0.029,0.148,0.052,0.229,0.646,0.326,0.161,0.194,0.179,0.15,0.34,0.153,0.149,0.178,0.158,0.107,1.6524261953557688,5.055999999999999
MAC000005,2013-02-27,0.051,0.031,0.03,0.031,0.03,0.033,0.032,0.033,0.038,0.031,0.032,0.031,0.032,0.032,0.031,0.031,0.226,0.232,0.136,0.115,0.098,0.03,0.031,0.029,0.03,0.03,0.029,0.1,0.03,0.031,0.143,0.117,0.029,0.083,0.03,0.026,0.029,0.027,0.164,0.291,0.12,0.038,0.038,0.09,0.311,0.144,0.097,0.112,1.6524261953557688,3.5649999999999995
MAC000005,2013-02-28,0.055,0.03,0.029,0.028,0.029,0.028,0.029,0.027,0.029,0.027,0.028,0.027,0.025,0.027,0.05,0.195,0.242,0.094,0.175,0.098,0.034,0.028,0.029,0.028,0.029,0.028,0.029,0.14,0.085,0.03,0.121,0.173,0.161,0.074,0.057,0.131,0.708,0.545,0.288,0.181,0.184,0.129,0.123,0.139,0.376,0.21,0.145,0.146,1.6524261953557688,5.623
MAC000005,2013-03-01,0.144,0.074,0.03,0.03,0.03,0.029,0.028,0.028,0.028,0.027,0.028,0.031,0.027,0.03,0.057,0.299,0.19,0.137,0.117,0.088,0.032,0.171,0.104,0.215,0.17,0.138,0.164,0.096,0.03,0.029,0.03,0.03,0.214,0.148,0.099,0.225,0.735,0.251,0.244,0.163,0.143,0.119,0.131,0.206,0.327,0.279,0.2,0.156,1.6524261953557688,6.301000000000001
MAC000005,2013-03-02,0.076,0.03,0.029,0.029,0.029,0.03,0.03,0.03,0.028,0.028,0.029,0.028,0.029,0.029,0.03,0.032,0.03,0.294,0.134,0.099,0.184,0.054,0.029,0.134,0.03,0.096,0.245,0.392,0.168,0.044,0.029,0.658,0.08,0.035,0.032,0.035,0.141,0.182,0.297,0.162,0.16,0.201,0.153,0.317,0.179,0.171,0.151,0.11,1.6524261953557688,5.542000000000001
MAC000005,2013-03-03,0.035,0.029,0.03,0.03,0.032,0.03,0.03,0.03,0.029,0.03,0.034,0.03,0.029,0.03,0.031,0.031,0.389,0.146,0.1,0.084,0.03,0.029,0.029,0.123,0.032,0.074,0.162,1.4,0.189,0.1,0.034,0.033,0.032,0.123,0.06,0.064,0.067,0.273,0.134,0.135,0.157,0.177,0.173,0.375,0.173,0.233,0.163,0.093,1.6524261953557688,5.876
MAC000005,2013-03-04,0.039,0.035,0.035,0.037,0.034,0.03,0.031,0.03,0.031,0.03,0.029,0.03,0.036,0.035,0.033,0.034,0.348,0.146,0.053,0.13,0.034,0.035,0.166,0.516,0.067,0.103,0.124,0.031,0.031,0.029,0.03,0.029,0.03,0.092,0.03,0.163,0.832,0.312,0.192,0.165,0.144,0.154,0.196,0.366,0.11,0.138,0.092,0.03,1.6524261953557688,5.446999999999999
MAC000005,2013-03-05,0.03,0.03,0.03,0.031,0.031,0.031,0.029,0.028,0.029,0.029,0.028,0.028,0.028,0.03,0.03,0.03,0.242,0.186,0.057,0.162,0.03,0.032,0.032,0.529,0.114,0.182,0.045,0.031,0.03,0.029,0.029,0.03,0.03,0.03,0.143,0.826,0.227,0.196,0.159,0.131,0.079,0.096,0.146,0.311,0.094,0.111,0.113,0.149,1.6524261953557688,5.0729999999999995
MAC000005,2013-03-06,0.081,0.031,0.029,0.029,0.029,0.03,0.028,0.029,0.032,0.029,0.029,0.028,0.029,0.031,0.032,0.032,0.313,0.153,0.088,0.033,0.033,0.034,0.033,0.032,0.032,0.032,0.031,0.034,0.036,0.158,0.085,0.792,0.322,0.067,0.377,0.427,0.994,0.259,0.17,0.154,0.099,0.089,0.08,0.181,0.185,0.111,0.141,0.113,1.6524261953557688,6.216000000000001
MAC000005,2013-03-07,0.056,0.032,0.031,0.029,0.03,0.03,0.032,0.029,0.03,0.03,0.029,0.03,0.033,0.033,0.031,0.033,0.03,0.322,0.138,0.139,0.033,0.032,0.031,0.032,0.031,0.031,0.036,0.102,0.104,0.032,0.168,0.137,0.123,0.097,0.127,0.35,0.672,0.337,0.201,0.167,0.156,0.081,0.107,0.284,0.108,0.107,0.115,0.088,1.6524261953557688,5.036000000000001
MAC000005,2013-03-08,0.033,0.034,0.032,0.033,0.033,0.032,0.032,0.032,0.032,0.033,0.029,0.028,0.028,0.029,0.057,0.259,0.22,0.203,0.072,0.055,0.065,0.033,0.027,0.155,0.189,0.349,0.143,0.033,0.033,0.037,0.07,0.048,0.032,0.03,0.045,0.161,0.251,0.765,0.245,0.131,0.132,0.202,0.114,0.107,0.245,0.137,0.087,0.088,1.6524261953557688,5.259999999999999
MAC000005,2013-03-09,0.089,0.032,0.031,0.032,0.031,0.03,0.029,0.033,0.032,0.03,0.031,0.029,0.029,0.031,0.031,0.03,0.248,0.192,0.074,0.033,0.032,0.14,0.166,0.166,0.541,0.534,0.056,0.066,0.099,0.066,0.127,0.033,0.032,0.031,0.064,0.068,0.446,0.172,0.153,0.089,0.075,0.075,0.074,0.076,0.101,0.106,0.14,0.227,1.6524261953557688,5.0520000000000005
MAC000005,2013-03-10,0.089,0.081,0.027,0.028,0.028,0.03,0.03,0.03,0.03,0.03,0.029,0.03,0.029,0.033,0.031,0.044,0.444,0.129,0.063,0.101,0.193,0.032,0.034,0.03,0.032,0.031,0.03,0.031,0.029,0.029,0.138,0.128,0.206,0.134,0.145,0.283,0.151,0.161,0.131,0.114,0.11,0.186,0.171,0.16,0.342,0.172,0.113,0.091,1.6524261953557688,4.742999999999999
MAC000005,2013-03-11,0.032,0.034,0.031,0.032,0.031,0.032,0.031,0.032,0.032,0.032,0.031,0.03,0.031,0.032,0.032,0.032,0.257,0.14,0.091,0.121,0.033,0.031,0.031,0.032,0.106,0.032,0.112,0.193,0.077,0.032,0.04,0.1,0.093,0.092,0.168,0.13,0.428,0.564,0.299,0.165,0.244,0.252,0.14,0.113,0.323,0.175,0.115,0.114,1.6524261953557688,5.3500000000000005
MAC000005,2013-03-12,0.088,0.041,0.031,0.031,0.031,0.03,0.031,0.028,0.029,0.029,0.029,0.03,0.028,0.031,0.031,0.029,0.257,0.152,0.085,0.033,0.03,0.123,0.027,0.029,0.029,0.028,0.155,0.03,0.077,0.029,0.027,0.127,0.028,0.066,0.095,0.092,0.127,0.134,0.434,0.437,0.286,0.147,0.111,0.274,0.086,0.106,0.102,0.112,1.6524261953557688,4.422000000000001
MAC000005,2013-03-13,0.036,0.029,0.028,0.028,0.028,0.032,0.029,0.027,0.028,0.027,0.028,0.027,0.028,0.029,0.028,0.028,0.297,0.162,0.072,0.029,0.033,0.028,0.028,0.03,0.028,0.028,0.028,0.033,0.033,0.168,0.172,0.09,0.333,0.317,0.353,0.46,0.275,0.194,0.251,0.164,0.15,0.092,0.103,0.107,0.359,0.175,0.118,0.107,1.6524261953557688,5.277
MAC000005,2013-03-14,0.037,0.029,0.029,0.029,0.029,0.028,0.028,0.029,0.028,0.029,0.028,0.028,0.029,0.031,0.031,0.031,0.287,0.155,0.09,0.031,0.027,0.027,0.027,0.027,0.027,0.027,0.028,0.129,0.067,0.062,0.152,0.031,0.306,0.589,0.208,0.263,0.242,0.242,0.211,0.225,0.28,0.274,0.275,0.282,0.453,0.3,0.361,0.154,1.6524261953557688,6.332
MAC000005,2013-03-15,0.089,0.029,0.029,0.03,0.028,0.03,0.031,0.033,0.032,0.029,0.028,0.027,0.029,0.028,0.029,0.267,0.163,0.1,0.033,0.034,0.034,0.2,0.147,0.068,0.067,0.449,0.206,0.073,0.031,0.03,0.03,0.03,0.03,0.131,0.03,0.038,0.929,0.398,0.273,0.179,0.128,0.071,0.273,0.073,0.07,0.07,0.173,0.171,1.6524261953557688,5.5
MAC000005,2013-03-16,0.142,0.044,0.029,0.028,0.029,0.028,0.03,0.028,0.03,0.037,0.031,0.031,0.03,0.029,0.031,0.03,0.296,0.141,0.067,0.091,0.054,0.029,0.031,0.207,0.115,0.662,0.306,0.097,0.089,0.181,0.097,0.043,0.032,0.094,0.141,0.127,0.236,0.138,0.043,0.039,0.12,0.31,0.174,0.09,0.24,0.1,0.182,0.102,1.6524261953557688,5.281000000000001
MAC000005,2013-03-17,0.04,0.032,0.031,0.03,0.032,0.031,0.03,0.03,0.031,0.035,0.03,0.029,0.029,0.031,0.031,0.031,0.029,0.394,0.14,0.213,0.096,0.03,0.134,0.238,0.675,0.576,0.797,0.886,0.53,0.243,0.387,0.257,0.159,0.135,0.09,0.072,0.264,0.162,0.155,0.107,0.085,0.115,0.106,0.308,0.11,0.112,0.135,0.085,1.6524261953557688,8.328000000000003
MAC000005,2013-03-18,0.033,0.034,0.032,0.033,0.032,0.03,0.03,0.031,0.029,0.029,0.029,0.032,0.03,0.031,0.032,0.031,0.301,0.133,0.076,0.331,0.684,0.068,0.036,0.086,0.052,0.111,0.033,0.033,0.031,0.126,0.03,0.179,0.328,0.465,0.484,1.648,0.306,0.306,0.189,0.141,0.137,0.135,0.258,0.11,0.165,0.141,0.142,0.081,1.6524261953557688,7.844
MAC000005,2013-03-19,0.032,0.032,0.032,0.032,0.031,0.031,0.032,0.03,0.031,0.031,0.029,0.029,0.033,0.059,0.094,0.07,0.331,0.176,0.131,0.156,0.034,0.032,0.033,0.031,0.056,0.098,0.087,0.139,0.032,0.031,0.029,0.097,0.143,0.065,0.031,0.029,0.399,0.426,0.356,0.237,0.186,0.132,0.105,0.295,0.085,0.109,0.099,0.13,1.6524261953557688,4.948
MAC000005,2013-03-20,0.035,0.031,0.031,0.032,0.032,0.035,0.029,0.03,0.03,0.03,0.029,0.028,0.029,0.031,0.031,0.031,0.03,0.358,0.098,0.062,0.033,0.033,0.034,0.032,0.033,0.031,0.031,0.11,0.13,0.08,0.034,0.148,0.099,0.082,0.067,0.188,0.628,0.303,0.148,0.363,0.234,0.167,0.295,0.133,0.12,0.11,0.112,0.091,1.6524261953557688,4.911000000000001
MAC000005,2013-03-21,0.096,0.055,0.034,0.033,0.032,0.032,0.032,0.031,0.029,0.029,0.028,0.029,0.029,0.031,0.032,0.33,0.146,0.102,0.1,0.033,0.032,0.031,0.033,0.032,0.031,0.031,0.132,0.06,0.153,0.031,0.155,0.099,0.317,0.525,0.134,0.062,0.031,0.031,0.028,0.029,0.028,0.029,0.036,0.295,0.188,0.154,0.109,0.122,1.6524261953557688,4.2010000000000005
MAC000005,2013-03-22,0.11,0.03,0.03,0.03,0.029,0.03,0.029,0.029,0.03,0.029,0.028,0.029,0.029,0.03,0.03,0.029,0.176,0.209,0.136,0.201,0.1,0.098,0.099,0.043,0.032,0.034,0.107,0.029,0.029,0.03,0.029,0.029,0.142,0.108,0.14,0.145,1.064,0.192,0.262,0.221,0.225,0.177,0.178,0.356,0.128,0.11,0.115,0.096,1.6524261953557688,5.591
MAC000005,2013-03-23,0.056,0.03,0.029,0.032,0.031,0.03,0.028,0.035,0.029,0.029,0.028,0.028,0.027,0.029,0.031,0.031,0.028,0.298,0.158,0.094,0.209,0.097,0.135,0.06,0.03,0.125,0.296,0.621,0.187,0.032,0.031,0.072,0.241,0.101,0.109,0.153,0.156,0.134,0.297,0.172,0.158,0.169,0.267,0.235,0.116,0.06,0.056,0.068,1.6524261953557688,5.468
MAC000005,2013-03-24,0.028,0.03,0.032,0.033,0.031,0.031,0.031,0.031,0.03,0.028,0.031,0.028,0.028,0.029,0.03,0.029,0.427,0.161,0.126,0.096,0.233,0.041,0.029,0.03,0.028,0.03,0.028,0.028,0.027,0.114,0.091,0.142,0.252,0.354,0.189,0.128,0.127,0.127,0.118,0.161,0.18,0.288,0.298,0.159,0.142,0.121,0.113,0.067,1.6524261953557688,4.935000000000001
MAC000005,2013-03-25,0.028,0.029,0.031,0.031,0.03,0.029,0.03,0.029,0.029,0.029,0.028,0.034,0.029,0.03,0.03,0.051,0.097,0.354,0.135,0.097,0.231,0.101,0.058,0.09,0.03,0.031,0.205,0.184,0.064,0.032,0.154,0.111,0.126,0.068,0.066,0.545,0.463,0.185,0.275,0.161,0.085,0.1,0.111,0.362,0.189,0.22,0.125,0.133,1.6524261953557688,5.685
MAC000005,2013-03-26,0.044,0.03,0.029,0.03,0.03,0.029,0.028,0.034,0.028,0.029,0.027,0.03,0.03,0.03,0.031,0.031,0.037,0.379,0.133,0.094,0.095,0.209,0.04,0.028,0.028,0.064,0.23,0.072,0.032,0.032,0.164,0.03,0.075,0.128,0.161,0.067,0.869,0.192,0.227,0.163,0.176,0.162,0.082,0.318,0.148,0.139,0.115,0.071,1.6524261953557688,5.25
MAC000005,2013-03-27,0.03,0.03,0.029,0.03,0.029,0.031,0.032,0.032,0.03,0.03,0.029,0.028,0.028,0.028,0.03,0.03,0.175,0.216,0.096,0.061,0.028,0.091,0.028,0.028,0.027,0.027,0.035,0.113,0.03,0.03,0.031,0.029,0.248,0.71,0.066,0.479,0.488,0.202,0.166,0.23,0.144,0.084,0.285,0.107,0.107,0.109,0.125,0.085,1.6524261953557688,5.156000000000001
MAC000005,2013-03-28,0.027,0.027,0.027,0.027,0.027,0.027,0.028,0.029,0.035,0.031,0.029,0.026,0.027,0.028,0.028,0.028,0.088,0.285,0.149,0.1,0.099,0.195,0.032,0.031,0.03,0.049,0.191,0.098,0.183,0.101,0.098,0.097,0.098,0.746,0.281,0.207,0.044,0.029,0.028,0.028,0.028,0.028,0.028,0.029,0.028,0.12,0.187,0.123,1.6524261953557688,4.309
MAC000005,2013-03-29,0.049,0.03,0.031,0.031,0.031,0.031,0.028,0.027,0.027,0.027,0.027,0.027,0.026,0.028,0.03,0.028,0.038,0.338,0.156,0.098,0.097,0.124,0.073,0.277,0.086,0.03,0.14,0.028,0.11,0.032,0.027,0.029,0.027,0.027,0.027,0.027,0.037,0.25,0.35,0.199,0.248,0.287,0.201,0.234,0.077,0.1,0.128,0.114,1.6524261953557688,4.494000000000001
MAC000005,2013-03-30,0.028,0.028,0.028,0.028,0.027,0.028,0.027,0.028,0.028,0.03,0.03,0.03,0.03,0.028,0.029,0.029,0.203,0.148,0.062,0.226,0.104,0.098,0.037,0.029,0.126,0.027,0.121,0.036,0.03,0.028,0.028,0.031,0.031,0.029,0.14,0.65,0.285,0.161,0.124,0.079,0.073,0.075,0.073,0.073,0.072,0.072,0.073,0.073,1.6524261953557688,3.8730000000000007
MAC000005,2013-03-31,0.073,0.196,0.175,0.049,0.029,0.029,0.029,0.03,0.03,0.028,0.028,0.028,0.029,0.031,0.049,0.462,0.146,0.044,0.161,0.029,0.028,0.027,0.027,0.027,0.027,0.027,0.028,0.028,0.238,0.094,0.188,0.096,0.096,0.301,0.277,0.155,0.161,0.093,0.103,0.22,0.201,0.208,0.321,0.172,0.113,0.104,0.083,0.033,1.6524261953557688,5.151000000000001
